Régions,Provinces,Malades
Région flamande,Province de Limbourg ,3
Région flamande,Province du Brabant flamand ,8
Région flamande,Province de Flandre-Orientale ,5
Région flamande,Province de Flandre-Occidentale ,14
Région flamande,Province d'Anvers ,2
Région flamande,Non identifiés ,33
Région de Bruxelles-Capitale,Total ,12
Région wallonne,Province de Liège ,12
Région wallonne,Province de Hainaut ,4
Région wallonne,Province de Namur ,0
Région wallonne,Province du Brabant wallon ,0
Région wallonne,Province de Luxembourg ,0
